date,location,people_fully_vaccinated
2020-12-27,Austria,
2020-12-28,Austria,
2020-12-29,Austria,
2020-12-30,Austria,
2020-12-31,Austria,
2021-01-01,Austria,
2021-01-02,Austria,
2021-01-03,Austria,
2021-01-04,Austria,
2021-01-05,Austria,
2021-01-06,Austria,
2021-01-07,Austria,
2021-01-08,Austria,
2021-01-09,Austria,
2021-01-10,Austria,
2021-01-11,Austria,
2021-01-12,Austria,
2021-01-13,Austria,
2021-01-14,Austria,
2021-01-15,Austria,
2021-01-16,Austria,12.0
2021-01-17,Austria,388.0
2021-01-18,Austria,1278.0
2021-01-19,Austria,2759.0
2021-01-20,Austria,4068.0
2021-01-21,Austria,4239.0
2021-01-22,Austria,4802.0
2021-01-23,Austria,4804.0
2021-01-24,Austria,4813.0
2021-01-25,Austria,4926.0
2021-01-26,Austria,5840.0
2021-01-27,Austria,6370.0
2021-01-28,Austria,9045.0
2021-01-29,Austria,18813.0
2021-01-30,Austria,21197.0
2021-01-31,Austria,22209.0
2021-02-01,Austria,25334.0
2021-02-02,Austria,39817.0
2021-02-03,Austria,54976.0
2021-02-04,Austria,72911.0
2021-02-05,Austria,90122.0
2021-02-06,Austria,96539.0
2021-02-07,Austria,100940.0
2021-02-08,Austria,108695.0
2021-02-09,Austria,125556.0
2021-02-10,Austria,144068.0
2021-02-11,Austria,163626.0
2021-02-12,Austria,182050.0
2021-02-13,Austria,187187.0
2021-02-14,Austria,188773.0
2021-02-15,Austria,192010.0
2021-02-16,Austria,199688.0
2021-02-17,Austria,209326.0
2021-02-18,Austria,217460.0
2021-02-19,Austria,225978.0
2021-02-20,Austria,227687.0
2021-02-21,Austria,228072.0
2021-02-22,Austria,229928.0
2021-02-23,Austria,234420.0
2021-02-24,Austria,237918.0
2021-02-25,Austria,241618.0
2021-02-26,Austria,246617.0
2021-02-27,Austria,248583.0
2021-02-28,Austria,249089.0
2021-03-01,Austria,249978.0
2021-03-02,Austria,252393.0
2021-03-03,Austria,254800.0
2021-03-04,Austria,257610.0
2021-03-05,Austria,260760.0
2021-03-06,Austria,263302.0
2021-03-07,Austria,263964.0
2021-03-08,Austria,265366.0
